Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,28.17141501,28.19936611,30.23638459,32.27372204,34.32855936,36.40150061,38.47545989,40.87574634,43.31114546,45.78160949,48.28708366,50.8278463,53.4035172,56.01404291,58.65937353,61.33978081,64.0548831,66.80870335,69.60193058,72.43421885,75.09141325,..
Afghanistan,AFG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,21.87080211,21.88130402,23.27419282,24.66743482,26.06769471,27.47541582,28.8840397,30.37464076,31.87385375,33.38186228,34.89884717,36.4251488,37.96080939,39.50601764,41.06096635,42.62602284,44.20121748,45.78912703,47.39066209,49.00616952,50.49964687,..
Afghanistan,AFG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,25.80310706,25.78057859,24.98285596,24.18598856,23.3771269,22.55681375,21.73816125,20.92096944,20.10547686,19.29169921,18.47965037,17.66914391,16.86040266,16.05344168,15.24827559,14.44473346,13.6430225,12.8668456,12.17017227,11.47563902,10.78376141,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,86.75447063,86.90407032,87.45163517,87.98719397,88.51058296,89.02118831,89.51913233,90.00418728,90.47615076,90.93441293,91.37947821,91.81088697,92.22877874,92.63159485,93.02005646,93.39432534,93.75487823,94.10209695,94.43639147,94.75822287,95.06803883,..
Albania,ALB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,89.48867136,90.03095617,90.60551419,91.16545587,91.71065289,92.32297713,92.92140649,93.5057424,94.07581407,94.63115604,95.17215972,95.69849376,96.21027103,96.7065609,97.18802044,97.65496533,98.10790338,98.54729837,98.97364391,99.18306692,99.29879315,..
Albania,ALB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.888852778,0.836397052,0.781898762,0.728191005,0.675280758,0.623198199,0.571934833,0.521500352,0.471902868,0.423170008,0.375274153,0.32823482,0.282042419,0.236762285,0.139691059,0.109372147,0.080385895,0.052687812,0,0,0,..
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,89.84882827,90.11344378,90.37379792,90.62972314,90.88125597,91.12824941,91.37095552,91.60922889,91.84330409,92.07203717,92.29597417,92.51499419,92.74518845,92.97088353,93.19235149,93.40956153,93.62277749,93.83197734,94.03741308,94.23913956,94.43732996,..
Algeria,DZA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,84.48083003,84.75992373,85.03280131,85.29916518,85.55907212,85.8122571,86.05913165,86.29943704,86.53356367,86.75948739,86.97813394,87.18924221,87.0935433,86.98687876,86.86984679,86.74252429,86.60548472,86.45882598,86.30309248,86.13850411,85.96546957,..
Algeria,DZA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,6.233949004,5.816862792,5.411176259,5.017041887,4.634333998,4.263133992,3.903086061,3.554243607,3.216277793,2.890114176,2.574999351,2.270808327,1.977114639,1.693614807,1.419856885,1.155577807,0.900352486,0.653890752,0.415795117,0.185741468,0,..
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.45908937,98.53642362,98.61375787,98.69109213,98.76842638,98.84576063,98.92309488,99.00042914,99.07776339,99.15509764,99.23243189,99.30976614,99.3871004,99.46443465,99.5417689,99.61910315,99.69643741,99.77377166,99.77377166,99.77377166,99.77377166,..
