Albania,88.478474,88.702437,88.931823,89.207822,89.429396,89.720696,89.951919,90.489027,90.674431,90.78698,90.915722,91.017269,90.957096,91.074404,91.354952,91.512091,91.693973,91.825147,91.939293,91.975256
Algeria,78.3963,78.906033,79.53538,79.119353,80.13037,80.605999,81.134565,81.727481,82.294877,83.453447,83.579581,84.164436,84.59492,85.168847,86.038809,86.476312,86.482094,86.528722,86.97482,87.58892
Angola,42.199881,43.697438,43.958905,46.592696,47.957454,49.252335,50.397687,52.275717,53.362107,55.220367,56.778003,57.870249,59.682945,60.534332,61.723907,62.671834,63.00739,63.949981,65.186505,65.323119
Antigua and Barbuda,84.908898,85.502415,85.827722,85.305719,85.226284,85.686946,85.638162,86.102663,86.439586,86.652782,86.766728,87.04303,87.309231,87.609622,87.984271,87.921824,88.290235,88.462171,88.9027,89.224613
Argentina,83.594111,84.005251,84.557491,83.555312,84.54694,85.035419,85.245892,85.017297,85.503738,85.687583,85.455765,86.043442,86.783177,86.836919,87.020073,87.294176,86.855301,87.388787,87.744382,88.20058
Armenia,81.760427,82.35485,82.493791,83.415087,83.036557,83.961157,84.279666,84.707918,85.050762,85.797695,86.16806,86.521892,86.27054,86.833774,87.583172,87.99091,88.44443,88.682591,88.967844,89.283305
Aruba,85.125912,85.198948,85.325168,85.301907,85.267086,85.434331,85.431315,85.363252,85.977124,86.527675,87.981942,88.038063,88.081461,88.374219,88.272603,88.398779,88.316514,88.720346,88.851646,89.079338
Australia,91.023514,91.378199,91.232211,91.61973,91.892235,92.088322,92.172933,92.110197,92.441427,92.411787,92.721864,92.698684,92.875853,92.829495,92.836883,92.947333,93.074736,93.192146,93.234961,92.968392
Austria,90.210552,90.534841,90.956781,90.531312,90.987929,91.167247,91.701936,91.636882,91.803763,91.612205,91.690105,91.923139,92.096221,92.268483,92.17173,92.415348,92.618877,92.833073,92.823711,93.073777
Azerbaijan,73.84436,74.688107,75.473301,76.145788,76.806597,77.052022,78.028093,78.771559,78.718545,79.989498,80.106123,80.96651,81.755173,82.5047,82.743358,83.277372,84.33907,84.174116,84.487136,84.629933
"Bahamas, The",79.317815,79.546411,79.6721,79.895537,79.885955,80.334024,80.514737,80.073229,80.163668,80.261467,80.305462,79.699129,79.849875,80.308506,80.736569,80.280239,81.127733,81.443541,81.654911,76.124187
Bahrain,86.010189,86.255087,86.616617,86.639676,87.11862,87.94052,88.236097,89.113267,89.428723,89.59847,89.567925,89.721684,90.094468,90.544874,90.789683,90.807767,91.100883,91.170505,91.216093,91.342486
Bangladesh,68.665955,69.472478,71.01466,71.939771,72.384269,72.789272,72.738582,71.748293,72.654883,72.912003,75.420478,75.756263,77.995875,79.174792,79.19761,79.714983,80.592969,81.493882,82.063404,83.063248
Barbados,84.093736,83.97667,84.120838,84.443617,84.871314,85.026356,85.062214,85.424258,85.673099,86.039609,85.902496,86.097673,86.278514,86.517847,86.711541,86.881305,87.056419,87.216083,87.422863,87.597616
Belarus,82.187051,81.551557,81.200409,81.775087,82.274525,82.419985,82.950415,83.659723,83.875008,84.00185,84.213509,84.820031,85.704764,85.897326,86.733576,87.154043,87.542674,87.911222,88.17545,88.411635
Belgium,89.363932,89.655601,89.616094,89.751474,90.297938,90.185089,90.414536,90.204044,90.386441,90.440614,90.592668,90.583637,90.923052,90.875761,91.447314,91.054935,91.585411,91.752405,91.672636,92.063054
